wkt_geom,SSC_CODE,SSC_NAME,CONF_VALUE,SQKM
POINT(145.225975 -37.852323),21419,Wantirna,Very good,8.306345834
POINT(145.315129 -38.191074),20389,Devon Meadows,Good,37.94852515
POINT(145.221544 -37.874063),21420,Wantirna South,Very good,13.93906511
POINT(145.466913 -37.980086),20391,Dewhurst,Very good,6.785106428
POINT(145.719409 -37.780828),21422,Warburton (Vic.),Very good,54.251538
POINT(145.158693 -37.666963),20393,Diamond Creek,Very good,19.80834873
POINT(145.311722 -38.221369),21424,Warneet,Very good,0.631989333
POINT(144.697636 -37.620824),20395,Diggers Rest,Very good,67.75065566
POINT(145.929081 -38.149862),21426,Warragul,Very good,66.16966569
POINT(145.896438 -38.215817),21427,Warragul South,Poor,45.18924127
POINT(145.209115 -37.747795),21428,Warrandyte,Very good,17.3428264
POINT(145.244060 -37.759602),21429,Warrandyte South,Good,4.528924761
POINT(145.124406 -37.987766),20399,Dingley Village,Very good,16.32544139
POINT(145.250083 -37.772485),21430,Warranwood,Very good,3.074937009
POINT(145.428144 -37.586869),20401,Dixons Creek,Very good,52.86169381
POINT(143.922139 -37.576764),21432,Warrenheip,Very good,10.40721349
POINT(144.940343 -37.818086),20402,Docklands,Very good,3.001915909
POINT(145.592283 -37.736365),20403,Don Valley,Very good,15.08766075
POINT(145.123853 -37.784828),20405,Doncaster,Very good,8.774365131
POINT(145.163892 -37.778863),20406,Doncaster East,Very good,11.17198404
POINT(145.191431 -37.789785),20407,Donvale,Very good,11.65057768
